symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
300757.SZ,罗博特科,1780885860000,2026-06-08,2026-06-08 10:31:00,623.0,623.0,622.08,622.1,109,6787949.0
300757.SZ,罗博特科,1780885920000,2026-06-08,2026-06-08 10:32:00,622.95,624.03,622.11,624.02,392,24437371.0
300757.SZ,罗博特科,1780885980000,2026-06-08,2026-06-08 10:33:00,624.5,626.01,624.5,625.55,443,27708787.0
300757.SZ,罗博特科,1780886040000,2026-06-08,2026-06-08 10:34:00,625.5,625.5,623.03,623.04,128,7989292.0
300757.SZ,罗博特科,1780886100000,2026-06-08,2026-06-08 10:35:00,623.5,624.0,622.0,622.13,126,7854683.0
300757.SZ,罗博特科,1780886160000,2026-06-08,2026-06-08 10:36:00,622.0,623.02,622.0,622.4,105,6537319.0
300757.SZ,罗博特科,1780886220000,2026-06-08,2026-06-08 10:37:00,622.55,623.38,621.7,621.8,256,15938859.0
300757.SZ,罗博特科,1780886280000,2026-06-08,2026-06-08 10:38:00,621.8,621.8,620.05,620.96,130,8072157.0
300757.SZ,罗博特科,1780886340000,2026-06-08,2026-06-08 10:39:00,621.11,621.6,620.8,621.6,72,4473480.0
300757.SZ,罗博特科,1780886400000,2026-06-08,2026-06-08 10:40:00,621.51,622.95,621.51,622.68,108,6723341.0
300757.SZ,罗博特科,1780886460000,2026-06-08,2026-06-08 10:41:00,622.98,623.68,621.71,621.84,274,17063833.0
300757.SZ,罗博特科,1780886520000,2026-06-08,2026-06-08 10:42:00,621.53,621.53,620.37,620.5,103,6394662.0
300757.SZ,罗博特科,1780886580000,2026-06-08,2026-06-08 10:43:00,621.0,622.0,620.41,621.16,139,8660311.0
300757.SZ,罗博特科,1780886640000,2026-06-08,2026-06-08 10:44:00,621.16,622.95,621.16,622.35,139,8651666.0
300757.SZ,罗博特科,1780886700000,2026-06-08,2026-06-08 10:45:00,622.28,622.28,621.35,621.5,57,3544326.0
300757.SZ,罗博特科,1780886760000,2026-06-08,2026-06-08 10:46:00,621.52,621.52,620.83,620.83,86,5342971.0
300757.SZ,罗博特科,1780886820000,2026-06-08,2026-06-08 10:47:00,620.82,620.88,619.66,619.66,264,16376660.0
300757.SZ,罗博特科,1780886880000,2026-06-08,2026-06-08 10:48:00,619.79,619.79,617.08,617.08,211,13045046.0
300757.SZ,罗博特科,1780886940000,2026-06-08,2026-06-08 10:49:00,617.74,617.74,615.17,615.17,376,23160973.0
300757.SZ,罗博特科,1780887000000,2026-06-08,2026-06-08 10:50:00,615.17,615.17,614.05,615.1,587,36084632.0
300757.SZ,罗博特科,1780887060000,2026-06-08,2026-06-08 10:51:00,615.1,617.52,614.65,616.99,377,23214043.0
300757.SZ,罗博特科,1780887120000,2026-06-08,2026-06-08 10:52:00,617.47,618.0,615.58,616.91,155,9557764.0
300757.SZ,罗博特科,1780887180000,2026-06-08,2026-06-08 10:53:00,617.38,619.82,615.0,619.0,203,12526549.0
300757.SZ,罗博特科,1780887240000,2026-06-08,2026-06-08 10:54:00,618.88,619.0,618.24,619.0,90,5570168.0
300757.SZ,罗博特科,1780887300000,2026-06-08,2026-06-08 10:55:00,618.99,620.99,618.89,620.99,121,7499236.0
300757.SZ,罗博特科,1780887360000,2026-06-08,2026-06-08 10:56:00,620.08,622.38,620.08,622.28,122,7586562.0
300757.SZ,罗博特科,1780887420000,2026-06-08,2026-06-08 10:57:00,622.23,622.23,620.89,621.0,83,5159712.0
300757.SZ,罗博特科,1780887480000,2026-06-08,2026-06-08 10:58:00,620.89,620.89,618.41,619.0,110,6817071.0
300757.SZ,罗博特科,1780887540000,2026-06-08,2026-06-08 10:59:00,619.59,620.1,619.06,620.1,53,3283966.0
300757.SZ,罗博特科,1780887600000,2026-06-08,2026-06-08 11:00:00,621.03,621.77,619.5,619.55,104,6456108.0
300757.SZ,罗博特科,1780887660000,2026-06-08,2026-06-08 11:01:00,619.55,619.55,618.21,618.29,46,2845763.0
300757.SZ,罗博特科,1780887720000,2026-06-08,2026-06-08 11:02:00,618.97,618.97,617.01,617.01,93,5745158.0
300757.SZ,罗博特科,1780887780000,2026-06-08,2026-06-08 11:03:00,617.25,619.03,617.04,617.04,162,10010608.0
300757.SZ,罗博特科,1780887840000,2026-06-08,2026-06-08 11:04:00,617.84,617.84,615.0,616.26,390,24012548.0
300757.SZ,罗博特科,1780887900000,2026-06-08,2026-06-08 11:05:00,615.0,618.2,615.0,618.2,271,16699266.0
300757.SZ,罗博特科,1780887960000,2026-06-08,2026-06-08 11:06:00,617.01,617.01,616.18,616.19,153,9439680.0
300757.SZ,罗博特科,1780888020000,2026-06-08,2026-06-08 11:07:00,616.23,616.9,616.21,616.8,68,4191893.0
300757.SZ,罗博特科,1780888080000,2026-06-08,2026-06-08 11:08:00,616.36,616.36,615.38,615.65,184,11331274.0
300757.SZ,罗博特科,1780888140000,2026-06-08,2026-06-08 11:09:00,615.5,616.82,615.5,616.03,83,5112924.0
300757.SZ,罗博特科,1780888200000,2026-06-08,2026-06-08 11:10:00,616.0,616.08,615.59,615.59,91,5603884.0
300757.SZ,罗博特科,1780888260000,2026-06-08,2026-06-08 11:11:00,615.59,616.33,615.5,615.5,149,9175855.0
300757.SZ,罗博特科,1780888320000,2026-06-08,2026-06-08 11:12:00,615.51,615.88,614.6,614.6,256,15750403.0
300757.SZ,罗博特科,1780888380000,2026-06-08,2026-06-08 11:13:00,614.59,614.93,614.39,614.44,138,8482047.0
300757.SZ,罗博特科,1780888440000,2026-06-08,2026-06-08 11:14:00,614.44,614.99,614.44,614.88,77,4733411.0
300757.SZ,罗博特科,1780888500000,2026-06-08,2026-06-08 11:15:00,614.88,614.88,613.88,613.88,505,31013787.0
300757.SZ,罗博特科,1780888560000,2026-06-08,2026-06-08 11:16:00,613.88,614.07,613.87,614.07,118,7244549.0
300757.SZ,罗博特科,1780888620000,2026-06-08,2026-06-08 11:17:00,614.07,614.4,613.53,613.58,242,14855667.0
300757.SZ,罗博特科,1780888680000,2026-06-08,2026-06-08 11:18:00,613.58,613.9,612.35,612.35,332,20360099.0
300757.SZ,罗博特科,1780888740000,2026-06-08,2026-06-08 11:19:00,612.36,613.59,612.0,613.05,291,17816559.0
300757.SZ,罗博特科,1780888800000,2026-06-08,2026-06-08 11:20:00,613.01,613.59,612.95,613.1,418,25625903.0
300757.SZ,罗博特科,1780888860000,2026-06-08,2026-06-08 11:21:00,613.1,613.9,613.0,613.89,261,16010005.0
300757.SZ,罗博特科,1780888920000,2026-06-08,2026-06-08 11:22:00,613.89,615.44,613.8,614.01,296,18174506.0
300757.SZ,罗博特科,1780888980000,2026-06-08,2026-06-08 11:23:00,614.14,616.37,614.0,616.37,93,5713602.0
300757.SZ,罗博特科,1780889040000,2026-06-08,2026-06-08 11:24:00,615.51,616.38,614.9,614.9,131,8068434.0
300757.SZ,罗博特科,1780889100000,2026-06-08,2026-06-08 11:25:00,614.9,614.9,613.1,613.16,122,7485628.0
300757.SZ,罗博特科,1780889160000,2026-06-08,2026-06-08 11:26:00,613.57,614.0,612.36,612.36,190,11653444.0
300757.SZ,罗博特科,1780889220000,2026-06-08,2026-06-08 11:27:00,612.35,612.35,611.01,611.01,172,10521652.0
300757.SZ,罗博特科,1780889280000,2026-06-08,2026-06-08 11:28:00,611.5,613.0,611.0,612.82,178,10891710.0
300757.SZ,罗博特科,1780889340000,2026-06-08,2026-06-08 11:29:00,613.07,613.07,612.52,612.99,82,5024675.0
300757.SZ,罗博特科,1780889400000,2026-06-08,2026-06-08 11:30:00,612.8,612.8,611.0,611.0,104,6364215.0
