symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
601869.SH,长飞光纤,1780885860000,2026-06-08,2026-06-08 10:31:00,458.33,459.9,456.75,459.41,2578,118160507.0
601869.SH,长飞光纤,1780885920000,2026-06-08,2026-06-08 10:32:00,459.41,462.2,459.41,462.1,2149,99179896.0
601869.SH,长飞光纤,1780885980000,2026-06-08,2026-06-08 10:33:00,462.09,462.3,459.9,459.9,2270,104650621.0
601869.SH,长飞光纤,1780886040000,2026-06-08,2026-06-08 10:34:00,459.53,459.53,455.78,457.56,1527,69790343.0
601869.SH,长飞光纤,1780886100000,2026-06-08,2026-06-08 10:35:00,457.6,459.0,456.01,456.01,1183,54129497.0
601869.SH,长飞光纤,1780886160000,2026-06-08,2026-06-08 10:36:00,456.0,457.01,456.0,456.09,1019,46512122.0
601869.SH,长飞光纤,1780886220000,2026-06-08,2026-06-08 10:37:00,456.0,456.0,451.21,451.98,1321,59851415.0
601869.SH,长飞光纤,1780886280000,2026-06-08,2026-06-08 10:38:00,451.98,452.0,447.2,447.27,1523,68366596.0
601869.SH,长飞光纤,1780886340000,2026-06-08,2026-06-08 10:39:00,448.97,449.42,447.0,448.0,1071,48002184.0
601869.SH,长飞光纤,1780886400000,2026-06-08,2026-06-08 10:40:00,448.07,450.5,448.07,450.43,780,35091203.0
601869.SH,长飞光纤,1780886460000,2026-06-08,2026-06-08 10:41:00,450.61,450.68,449.38,449.38,783,35253702.0
601869.SH,长飞光纤,1780886520000,2026-06-08,2026-06-08 10:42:00,449.17,452.0,448.63,452.0,652,29330710.0
601869.SH,长飞光纤,1780886580000,2026-06-08,2026-06-08 10:43:00,452.4,454.0,452.0,454.0,537,24300387.0
601869.SH,长飞光纤,1780886640000,2026-06-08,2026-06-08 10:44:00,454.14,456.96,454.14,455.99,935,42642377.0
601869.SH,长飞光纤,1780886700000,2026-06-08,2026-06-08 10:45:00,456.3,456.5,455.0,455.0,539,24569601.0
601869.SH,长飞光纤,1780886760000,2026-06-08,2026-06-08 10:46:00,454.01,454.16,450.01,452.01,593,26808875.0
601869.SH,长飞光纤,1780886820000,2026-06-08,2026-06-08 10:47:00,452.5,453.75,452.0,452.02,559,25323696.0
601869.SH,长飞光纤,1780886880000,2026-06-08,2026-06-08 10:48:00,452.98,453.35,452.01,452.01,432,19568846.0
601869.SH,长飞光纤,1780886940000,2026-06-08,2026-06-08 10:49:00,452.39,452.39,448.95,449.0,583,26257810.0
601869.SH,长飞光纤,1780887000000,2026-06-08,2026-06-08 10:50:00,449.18,451.33,449.18,451.33,677,30453040.0
601869.SH,长飞光纤,1780887060000,2026-06-08,2026-06-08 10:51:00,451.13,451.45,450.0,450.01,481,21710577.0
601869.SH,长飞光纤,1780887120000,2026-06-08,2026-06-08 10:52:00,450.16,451.45,449.8,450.99,418,18805742.0
601869.SH,长飞光纤,1780887180000,2026-06-08,2026-06-08 10:53:00,450.97,452.61,450.3,452.57,322,14549356.0
601869.SH,长飞光纤,1780887240000,2026-06-08,2026-06-08 10:54:00,451.51,452.85,451.51,451.63,242,10926601.0
601869.SH,长飞光纤,1780887300000,2026-06-08,2026-06-08 10:55:00,452.5,452.8,451.61,452.8,271,12260157.0
601869.SH,长飞光纤,1780887360000,2026-06-08,2026-06-08 10:56:00,452.85,455.0,452.8,455.0,452,20527194.0
601869.SH,长飞光纤,1780887420000,2026-06-08,2026-06-08 10:57:00,454.79,454.99,453.27,453.27,306,13903207.0
601869.SH,长飞光纤,1780887480000,2026-06-08,2026-06-08 10:58:00,453.28,453.28,451.61,451.64,186,8413145.0
601869.SH,长飞光纤,1780887540000,2026-06-08,2026-06-08 10:59:00,451.85,452.49,451.66,451.99,167,7550595.0
601869.SH,长飞光纤,1780887600000,2026-06-08,2026-06-08 11:00:00,451.99,452.33,451.01,451.11,287,12967903.0
601869.SH,长飞光纤,1780887660000,2026-06-08,2026-06-08 11:01:00,451.08,451.08,450.7,450.7,271,12222759.0
601869.SH,长飞光纤,1780887720000,2026-06-08,2026-06-08 11:02:00,450.66,451.18,449.0,451.18,520,23411936.0
601869.SH,长飞光纤,1780887780000,2026-06-08,2026-06-08 11:03:00,451.05,451.18,450.54,450.8,402,18124083.0
601869.SH,长飞光纤,1780887840000,2026-06-08,2026-06-08 11:04:00,450.89,450.96,450.53,450.75,185,8341610.0
601869.SH,长飞光纤,1780887900000,2026-06-08,2026-06-08 11:05:00,450.94,454.0,450.94,453.0,267,12077055.0
601869.SH,长飞光纤,1780887960000,2026-06-08,2026-06-08 11:06:00,453.2,453.2,450.75,451.0,267,12066296.0
601869.SH,长飞光纤,1780888020000,2026-06-08,2026-06-08 11:07:00,451.0,451.7,450.88,450.88,261,11781136.0
601869.SH,长飞光纤,1780888080000,2026-06-08,2026-06-08 11:08:00,450.75,450.84,450.01,450.01,256,11533046.0
601869.SH,长飞光纤,1780888140000,2026-06-08,2026-06-08 11:09:00,450.46,450.8,450.01,450.03,241,10853819.0
601869.SH,长飞光纤,1780888200000,2026-06-08,2026-06-08 11:10:00,450.05,450.78,450.01,450.04,321,14455745.0
601869.SH,长飞光纤,1780888260000,2026-06-08,2026-06-08 11:11:00,450.06,451.06,450.05,450.91,436,19648894.0
601869.SH,长飞光纤,1780888320000,2026-06-08,2026-06-08 11:12:00,450.92,451.05,449.0,449.0,454,20444939.0
601869.SH,长飞光纤,1780888380000,2026-06-08,2026-06-08 11:13:00,449.0,449.96,448.64,449.16,619,27799236.0
601869.SH,长飞光纤,1780888440000,2026-06-08,2026-06-08 11:14:00,449.78,449.78,449.19,449.24,248,11143188.0
601869.SH,长飞光纤,1780888500000,2026-06-08,2026-06-08 11:15:00,449.31,449.31,447.05,447.05,560,25106152.0
601869.SH,长飞光纤,1780888560000,2026-06-08,2026-06-08 11:16:00,447.05,450.09,447.05,450.0,1075,48194690.0
601869.SH,长飞光纤,1780888620000,2026-06-08,2026-06-08 11:17:00,450.0,450.0,448.2,448.45,325,14595050.0
601869.SH,长飞光纤,1780888680000,2026-06-08,2026-06-08 11:18:00,448.43,448.45,447.37,447.4,268,12005452.0
601869.SH,长飞光纤,1780888740000,2026-06-08,2026-06-08 11:19:00,447.4,448.03,447.3,448.03,428,19152842.0
601869.SH,长飞光纤,1780888800000,2026-06-08,2026-06-08 11:20:00,448.19,450.0,447.8,449.55,258,11590404.0
601869.SH,长飞光纤,1780888860000,2026-06-08,2026-06-08 11:21:00,449.98,451.6,449.42,451.6,223,10038237.0
601869.SH,长飞光纤,1780888920000,2026-06-08,2026-06-08 11:22:00,451.0,451.99,450.46,450.61,332,14988674.0
601869.SH,长飞光纤,1780888980000,2026-06-08,2026-06-08 11:23:00,450.61,451.57,450.47,451.19,179,8070794.0
601869.SH,长飞光纤,1780889040000,2026-06-08,2026-06-08 11:24:00,451.65,451.98,451.05,451.63,206,9304259.0
