sym,date,net_pct,cum_net_pct
603950.SH,2025-11-25,0.4776,0.4776
603950.SH,2025-11-26,0.215,0.6926
603950.SH,2025-11-27,1.141,1.8336
603950.SH,2025-11-27,-0.1043,1.7293
603950.SH,2025-11-28,-0.04,1.6893
603950.SH,2025-12-01,0.9959,2.6852
603950.SH,2025-12-01,0.8561,3.5413
603950.SH,2025-12-01,0.19,3.7313
603950.SH,2025-12-02,0.6565,4.3878
603950.SH,2025-12-02,0.5533,4.9411
603950.SH,2025-12-02,0.9237,5.8648
603950.SH,2025-12-03,-0.5355,5.3293
603950.SH,2025-12-03,0.6919,6.0212
300736.SZ,2025-12-04,1.076,7.0972
603950.SH,2025-12-04,0.7173,7.8145
603950.SH,2025-12-04,-0.3382,7.4763
002932.SZ,2025-12-05,0.0691,7.5454
603950.SH,2025-12-05,0.4984,8.0438
300142.SZ,2025-12-05,0.3057,8.3495
300736.SZ,2025-12-05,-0.6101,7.7394
603950.SH,2025-12-05,0.6995,8.4389
600249.SH,2025-12-05,0.2785,8.7174
300142.SZ,2025-12-05,0.6497,9.3671
300736.SZ,2025-12-05,0.306,9.6731
300142.SZ,2025-12-05,0.2164,9.8895
300736.SZ,2025-12-05,0.0092,9.8987
920670.BJ,2025-12-08,0.3456,10.2443
300736.SZ,2025-12-08,2.3363,12.5806
920640.BJ,2025-12-08,0.5557,13.1363
920826.BJ,2025-12-08,0.8321,13.9684
688347.SH,2025-12-08,0.1695,14.1379
002294.SZ,2025-12-08,0.0927,14.2306
300480.SZ,2025-12-08,0.0217,14.2523
603337.SH,2025-12-08,0.1125,14.3648
688135.SH,2025-12-08,-0.1076,14.2572
300003.SZ,2025-12-08,-0.1028,14.1544
920489.BJ,2025-12-08,0.1748,14.3292
600868.SH,2025-12-08,-0.04,14.2892
688608.SH,2025-12-08,-0.0005,14.2887
300568.SZ,2025-12-08,-0.17,14.1187
000572.SZ,2025-12-08,0.6892,14.8079
603950.SH,2025-12-08,0.7531,15.561
002443.SZ,2025-12-08,0.2109,15.7719
600689.SH,2025-12-08,0.0289,15.8008
688670.SH,2025-12-08,0.2608,16.0616
920725.BJ,2025-12-08,0.2564,16.318
300142.SZ,2025-12-08,0.5542,16.8722
920670.BJ,2025-12-08,0.0242,16.8964
920374.BJ,2025-12-08,0.3219,17.2183
688038.SH,2025-12-08,0.1325,17.3508
001311.SZ,2025-12-08,0.7642,18.115
603337.SH,2025-12-08,0.1137,18.2287
603113.SH,2025-12-08,2.0496,20.2783
300736.SZ,2025-12-08,1.3562,21.6345
603950.SH,2025-12-08,1.054,22.6885
300736.SZ,2025-12-08,1.5737,24.2622
300736.SZ,2025-12-08,-0.3222,23.94
603950.SH,2025-12-08,0.0223,23.9623
603950.SH,2025-12-08,0.2106,24.1729
688347.SH,2025-12-09,0.8454,25.0183
688578.SH,2025-12-09,0.1224,25.1407
002008.SZ,2025-12-09,0.0877,25.2284
300604.SZ,2025-12-09,0.4153,25.6437
300003.SZ,2025-12-09,0.2108,25.8545
000507.SZ,2025-12-09,0.3359,26.1904
603337.SH,2025-12-09,0.2934,26.4838
603175.SH,2025-12-09,0.9006,27.3844
920826.BJ,2025-12-09,0.8398,28.2242
301137.SZ,2025-12-09,0.1886,28.4128
002791.SZ,2025-12-09,0.1891,28.6019
603950.SH,2025-12-09,0.53,29.1319
000962.SZ,2025-12-09,0.6189,29.7508
300197.SZ,2025-12-09,-0.04,29.7108
600528.SH,2025-12-09,-0.1658,29.545
300368.SZ,2025-12-09,0.1552,29.7002
301303.SZ,2025-12-09,0.0887,29.7889
300568.SZ,2025-12-09,0.7605,30.5494
300518.SZ,2025-12-09,1.5624,32.1118
688392.SH,2025-12-09,0.2553,32.3671
001202.SZ,2025-12-09,0.1513,32.5184
002294.SZ,2025-12-09,1.0754,33.5938
301369.SZ,2025-12-09,0.1161,33.7099
688616.SH,2025-12-09,0.04,33.7499
603236.SH,2025-12-09,0.1556,33.9055
920725.BJ,2025-12-09,-0.5805,33.325
688244.SH,2025-12-09,0.2525,33.5775
300691.SZ,2025-12-09,-0.0966,33.4809
002173.SZ,2025-12-09,0.0523,33.5332
300664.SZ,2025-12-09,0.137,33.6702
603334.SH,2025-12-09,0.5489,34.2191
