sym,date,direction,entry_idx,exit_idx,entry_price,exit_price,gross_pct,net_pct,win
161129.SZ,2026-07-17,LONG,2,10,1.803,1.818,0.8319,0.7919,True
161129.SZ,2026-07-17,SHORT,55,63,1.803,1.783,1.1093,1.0693,True
161129.SZ,2026-07-17,LONG,80,125,1.714,1.801,5.0758,5.0358,True
161129.SZ,2026-07-17,LONG,182,231,1.737,1.799,3.5694,3.5294,True
688347.SH,2025-12-08,LONG,2,11,114.55,114.79,0.2095,0.1695,True
688347.SH,2025-12-09,LONG,2,10,111.82,112.81,0.8854,0.8454,True
688347.SH,2025-12-09,SHORT,20,58,113.85,112.83,0.8959,0.8559,True
688347.SH,2025-12-09,LONG,84,102,113.09,114.08,0.8754,0.8354,True
688347.SH,2025-12-09,LONG,141,158,111.75,112.83,0.9664,0.9264,True
688347.SH,2025-12-10,LONG,30,56,106.71,108.86,2.0148,1.9748,True
688347.SH,2025-12-10,SHORT,80,113,110.41,109.36,0.951,0.911,True
688347.SH,2025-12-10,LONG,153,169,108.87,109.0,0.1194,0.0794,True
688347.SH,2025-12-11,SHORT,6,14,111.51,111.03,0.4305,0.3905,True
688347.SH,2025-12-12,LONG,58,69,99.0,99.8,0.8081,0.7681,True
688347.SH,2025-12-12,SHORT,159,168,102.67,102.6,0.0682,0.0282,True
688347.SH,2025-12-12,SHORT,176,193,103.65,103.86,-0.2026,-0.2426,False
688347.SH,2025-12-15,SHORT,11,28,104.38,103.13,1.1975,1.1575,True
688347.SH,2025-12-15,LONG,137,171,100.5,100.9,0.398,0.358,True
688347.SH,2025-12-16,LONG,77,113,97.76,97.78,0.0205,-0.0195,False
688347.SH,2025-12-16,LONG,151,166,97.24,98.71,1.5117,1.4717,True
688347.SH,2025-12-17,SHORT,81,120,99.72,98.82,0.9025,0.8625,True
688347.SH,2025-12-18,SHORT,38,46,102.38,101.48,0.8791,0.8391,True
688347.SH,2025-12-19,LONG,12,50,100.1,101.97,1.8681,1.8281,True
688347.SH,2025-12-19,LONG,72,104,101.29,100.89,-0.3949,-0.4349,False
688347.SH,2025-12-22,SHORT,2,14,102.8,102.31,0.4767,0.4367,True
688347.SH,2025-12-22,LONG,25,103,102.87,105.62,2.6733,2.6333,True
688347.SH,2025-12-23,LONG,5,13,103.17,104.49,1.2794,1.2394,True
688347.SH,2025-12-23,SHORT,159,195,106.31,105.3,0.9501,0.9101,True
688347.SH,2025-12-24,SHORT,10,27,108.97,106.8,1.9914,1.9514,True
688347.SH,2025-12-24,LONG,77,91,106.46,107.22,0.7139,0.6739,True
688347.SH,2025-12-24,LONG,112,154,107.16,108.8,1.5304,1.4904,True
688347.SH,2025-12-25,SHORT,10,37,110.95,109.01,1.7485,1.7085,True
688347.SH,2025-12-25,LONG,70,174,108.19,110.7,2.32,2.28,True
688347.SH,2025-12-26,LONG,3,11,108.79,110.1,1.2042,1.1642,True
688347.SH,2025-12-26,LONG,69,99,108.37,108.9,0.4891,0.4491,True
688347.SH,2025-12-29,SHORT,11,43,111.19,110.05,1.0253,0.9853,True
688347.SH,2025-12-29,SHORT,76,120,110.55,109.22,1.2031,1.1631,True
688347.SH,2025-12-29,LONG,148,170,108.2,108.59,0.3604,0.3204,True
688347.SH,2025-12-29,LONG,217,232,107.54,107.91,0.3441,0.3041,True
688347.SH,2025-12-30,SHORT,2,13,111.08,110.23,0.7652,0.7252,True
688347.SH,2025-12-30,LONG,112,133,107.28,111.5,3.9336,3.8936,True
688347.SH,2025-12-30,LONG,157,173,109.5,110.0,0.4566,0.4166,True
688347.SH,2025-12-31,LONG,10,35,106.6,108.35,1.6417,1.6017,True
688347.SH,2025-12-31,SHORT,43,83,109.71,108.24,1.3399,1.2999,True
688347.SH,2026-01-05,SHORT,4,12,113.9,112.94,0.8428,0.8028,True
688347.SH,2026-01-05,SHORT,61,81,116.5,117.49,-0.8498,-0.8898,False
688347.SH,2026-01-05,LONG,145,171,114.58,115.26,0.5935,0.5535,True
688347.SH,2026-01-06,SHORT,19,42,122.78,119.89,2.3538,2.3138,True
688347.SH,2026-01-06,LONG,77,88,117.98,118.52,0.4577,0.4177,True
688347.SH,2026-01-07,LONG,11,38,119.27,121.3,1.702,1.662,True
688347.SH,2026-01-07,SHORT,90,126,123.8,123.0,0.6462,0.6062,True
688347.SH,2026-01-08,SHORT,18,28,132.0,130.01,1.5076,1.4676,True
688347.SH,2026-01-08,LONG,104,117,127.35,127.95,0.4711,0.4311,True
688347.SH,2026-01-08,LONG,189,218,125.62,126.58,0.7642,0.7242,True
688347.SH,2026-01-09,SHORT,3,11,125.66,123.22,1.9417,1.9017,True
688347.SH,2026-01-09,SHORT,44,81,129.4,127.66,1.3447,1.3047,True
688347.SH,2026-01-09,LONG,98,111,127.85,129.0,0.8995,0.8595,True
688347.SH,2026-01-09,SHORT,164,175,129.31,128.69,0.4795,0.4395,True
688347.SH,2026-01-12,SHORT,3,11,128.93,126.88,1.59,1.55,True
688347.SH,2026-01-12,LONG,69,114,124.66,126.16,1.2033,1.1633,True
688347.SH,2026-01-13,LONG,2,11,122.89,125.17,1.8553,1.8153,True
