sym,date,net_pct,cum_net_pct
603950.SH,2025-11-25,0.3844,0.3844
603950.SH,2025-11-25,0.5163,0.9007
603950.SH,2025-11-25,0.8967,1.7974
603950.SH,2025-11-26,0.5102,2.3076
603950.SH,2025-11-26,0.6305,2.9381
603950.SH,2025-11-27,1.141,4.0791
603950.SH,2025-11-27,0.1526,4.2317
603950.SH,2025-11-27,0.1846,4.4163
603950.SH,2025-11-28,0.5465,4.9628
603950.SH,2025-11-28,-0.3329,4.6299
603950.SH,2025-12-01,0.9959,5.6258
603950.SH,2025-12-01,0.5066,6.1324
603950.SH,2025-12-02,0.6904,6.8228
300736.SZ,2025-12-04,0.8819,7.7047
300142.SZ,2025-12-04,0.2168,7.9215
600249.SH,2025-12-04,0.4408,8.3623
603950.SH,2025-12-04,0.3888,8.7511
603950.SH,2025-12-04,0.9168,9.6679
603950.SH,2025-12-04,0.9083,10.5762
603950.SH,2025-12-04,0.5564,11.1326
002932.SZ,2025-12-05,0.0691,11.2017
600249.SH,2025-12-05,0.6031,11.8048
603950.SH,2025-12-05,1.1165,12.9213
300736.SZ,2025-12-05,1.1089,14.0302
600249.SH,2025-12-05,0.7678,14.798
300142.SZ,2025-12-05,0.3925,15.1905
603950.SH,2025-12-05,0.2965,15.487
300736.SZ,2025-12-05,0.9165,16.4035
300736.SZ,2025-12-05,1.3212,17.7247
920670.BJ,2025-12-08,0.3456,18.0703
300736.SZ,2025-12-08,2.3363,20.4066
920640.BJ,2025-12-08,0.5557,20.9623
920826.BJ,2025-12-08,0.8321,21.7944
688347.SH,2025-12-08,0.1695,21.9639
002294.SZ,2025-12-08,0.0927,22.0566
300480.SZ,2025-12-08,0.0217,22.0783
603337.SH,2025-12-08,0.1125,22.1908
688135.SH,2025-12-08,-0.1076,22.0832
300003.SZ,2025-12-08,-0.1028,21.9804
920489.BJ,2025-12-08,0.1748,22.1552
600868.SH,2025-12-08,-0.04,22.1152
688608.SH,2025-12-08,-0.0005,22.1147
300568.SZ,2025-12-08,-0.17,21.9447
000572.SZ,2025-12-08,0.6892,22.6339
603950.SH,2025-12-08,0.7531,23.387
002443.SZ,2025-12-08,0.2109,23.5979
600689.SH,2025-12-08,0.0289,23.6268
688670.SH,2025-12-08,0.2608,23.8876
603113.SH,2025-12-08,1.154,25.0416
002337.SZ,2025-12-08,0.2706,25.3122
300441.SZ,2025-12-08,-0.04,25.2722
300142.SZ,2025-12-08,0.4693,25.7415
300395.SZ,2025-12-08,0.1928,25.9343
002324.SZ,2025-12-08,-0.1186,25.8157
001317.SZ,2025-12-08,0.1492,25.9649
600249.SH,2025-12-08,0.4347,26.3996
688616.SH,2025-12-08,0.1998,26.5994
301526.SZ,2025-12-08,-0.1685,26.4309
000037.SZ,2025-12-08,-0.04,26.3909
300604.SZ,2025-12-08,0.5681,26.959
300542.SZ,2025-12-08,0.0673,27.0263
603282.SH,2025-12-08,0.1625,27.1888
300889.SZ,2025-12-08,0.2174,27.4062
300264.SZ,2025-12-08,0.2541,27.6603
300691.SZ,2025-12-08,0.0734,27.7337
603330.SH,2025-12-08,0.8621,28.5958
920725.BJ,2025-12-08,0.2025,28.7983
603917.SH,2025-12-08,0.1655,28.9638
688038.SH,2025-12-08,-0.04,28.9238
300736.SZ,2025-12-08,0.9443,29.8681
001311.SZ,2025-12-08,0.5569,30.425
603175.SH,2025-12-08,0.1,30.525
920541.BJ,2025-12-08,0.1834,30.7084
002008.SZ,2025-12-08,0.2633,30.9717
603950.SH,2025-12-08,0.687,31.6587
002337.SZ,2025-12-08,0.1148,31.7735
002932.SZ,2025-12-08,0.2323,32.0058
920826.BJ,2025-12-08,-0.4751,31.5307
300003.SZ,2025-12-08,0.0855,31.6162
300480.SZ,2025-12-08,0.1448,31.761
920374.BJ,2025-12-08,0.7246,32.4856
002324.SZ,2025-12-08,0.2742,32.7598
688252.SH,2025-12-08,-0.04,32.7198
300395.SZ,2025-12-08,0.0703,32.7901
603330.SH,2025-12-08,0.3441,33.1342
603282.SH,2025-12-08,0.0612,33.1954
920670.BJ,2025-12-08,0.3454,33.5408
603917.SH,2025-12-08,0.2338,33.7746
300518.SZ,2025-12-08,0.0768,33.8514
688347.SH,2025-12-08,0.1339,33.9853
001317.SZ,2025-12-08,0.0782,34.0635
301369.SZ,2025-12-08,0.2987,34.3622
300542.SZ,2025-12-08,0.1211,34.4833
002008.SZ,2025-12-08,0.2138,34.6971
600479.SH,2025-12-08,-0.1338,34.5633
300142.SZ,2025-12-08,0.2158,34.7791
300142.SZ,2025-12-08,0.0451,34.8242
300142.SZ,2025-12-08,0.1304,34.9546
002932.SZ,2025-12-08,0.123,35.0776
688347.SH,2025-12-09,0.8454,35.923
688578.SH,2025-12-09,0.1224,36.0454
002008.SZ,2025-12-09,0.0877,36.1331
300604.SZ,2025-12-09,0.4153,36.5484
300003.SZ,2025-12-09,0.2108,36.7592
000507.SZ,2025-12-09,0.3359,37.0951
