sym,date,direction,entry_idx,exit_idx,entry_price,exit_price,gross_pct,net_pct,win
161129.SZ,2026-07-17,LONG,2,10,1.803,1.818,0.8319,0.7919,True
161129.SZ,2026-07-17,LONG,98,121,1.73,1.787,3.2948,3.2548,True
688347.SH,2025-12-08,LONG,2,11,114.55,114.79,0.2095,0.1695,True
688347.SH,2025-12-08,SHORT,35,44,115.03,114.83,0.1739,0.1339,True
688347.SH,2025-12-09,LONG,2,10,111.82,112.81,0.8854,0.8454,True
688347.SH,2025-12-09,SHORT,50,58,113.45,112.83,0.5465,0.5065,True
688347.SH,2025-12-09,SHORT,74,82,114.12,112.81,1.1479,1.1079,True
688347.SH,2025-12-09,SHORT,114,123,113.99,112.83,1.0176,0.9776,True
688347.SH,2025-12-10,LONG,50,58,107.81,109.02,1.1223,1.0823,True
688347.SH,2025-12-11,SHORT,6,14,111.51,111.03,0.4305,0.3905,True
688347.SH,2025-12-12,LONG,74,82,100.53,102.32,1.7806,1.7406,True
688347.SH,2025-12-15,SHORT,20,28,103.37,103.13,0.2322,0.1922,True
688347.SH,2025-12-16,LONG,93,197,97.88,98.85,0.991,0.951,True
688347.SH,2025-12-17,SHORT,20,32,99.33,98.84,0.4933,0.4533,True
688347.SH,2025-12-17,LONG,48,56,98.85,99.07,0.2226,0.1826,True
688347.SH,2025-12-17,SHORT,104,113,99.37,99.03,0.3422,0.3022,True
688347.SH,2025-12-17,LONG,121,130,98.94,99.11,0.1718,0.1318,True
688347.SH,2025-12-17,SHORT,138,147,99.05,99.08,-0.0303,-0.0703,False
688347.SH,2025-12-18,SHORT,10,20,102.93,101.97,0.9327,0.8927,True
688347.SH,2025-12-18,SHORT,37,45,102.11,101.3,0.7933,0.7533,True
688347.SH,2025-12-19,LONG,31,42,99.78,101.05,1.2728,1.2328,True
688347.SH,2025-12-19,SHORT,87,95,101.21,100.67,0.5335,0.4935,True
688347.SH,2025-12-19,LONG,109,117,100.83,101.32,0.486,0.446,True
688347.SH,2025-12-19,SHORT,125,134,100.9,100.72,0.1784,0.1384,True
688347.SH,2025-12-22,SHORT,2,14,102.8,102.31,0.4767,0.4367,True
688347.SH,2025-12-22,LONG,22,30,102.67,103.48,0.7889,0.7489,True
688347.SH,2025-12-22,SHORT,38,49,103.7,102.54,1.1186,1.0786,True
688347.SH,2025-12-22,LONG,82,90,102.35,103.65,1.2702,1.2302,True
688347.SH,2025-12-23,LONG,5,13,103.17,104.49,1.2794,1.2394,True
688347.SH,2025-12-23,SHORT,53,62,104.49,104.32,0.1627,0.1227,True
688347.SH,2025-12-23,LONG,102,110,104.18,104.36,0.1728,0.1328,True
688347.SH,2025-12-23,SHORT,150,216,105.34,104.6,0.7025,0.6625,True
