sym,date,net_pct,cum_net_pct
603950.SH,2025-11-25,0.4776,0.4776
603950.SH,2025-11-26,0.215,0.6926
603950.SH,2025-11-27,1.141,1.8336
603950.SH,2025-11-27,-0.1043,1.7293
603950.SH,2025-11-28,-0.04,1.6893
603950.SH,2025-12-01,0.9959,2.6852
603950.SH,2025-12-01,0.1908,2.876
603950.SH,2025-12-01,0.19,3.066
603950.SH,2025-12-02,0.6565,3.7225
603950.SH,2025-12-02,0.5533,4.2758
603950.SH,2025-12-03,-0.5355,3.7403
300736.SZ,2025-12-04,1.076,4.8163
603950.SH,2025-12-04,0.7173,5.5336
603950.SH,2025-12-04,-0.3382,5.1954
002932.SZ,2025-12-05,0.0691,5.2645
603950.SH,2025-12-05,0.4984,5.7629
300142.SZ,2025-12-05,0.3057,6.0686
300736.SZ,2025-12-05,-0.6101,5.4585
603950.SH,2025-12-05,0.6995,6.158
600249.SH,2025-12-05,0.2785,6.4365
300142.SZ,2025-12-05,0.6497,7.0862
300736.SZ,2025-12-05,0.1574,7.2436
300142.SZ,2025-12-05,0.2164,7.46
300736.SZ,2025-12-05,0.0092,7.4692
920670.BJ,2025-12-08,0.3456,7.8148
300736.SZ,2025-12-08,2.3363,10.1511
920640.BJ,2025-12-08,0.5557,10.7068
920826.BJ,2025-12-08,0.8321,11.5389
688347.SH,2025-12-08,0.1695,11.7084
002294.SZ,2025-12-08,0.0927,11.8011
300480.SZ,2025-12-08,0.0217,11.8228
603337.SH,2025-12-08,0.1125,11.9353
688135.SH,2025-12-08,-0.1076,11.8277
300003.SZ,2025-12-08,-0.1028,11.7249
920489.BJ,2025-12-08,0.1748,11.8997
600868.SH,2025-12-08,-0.04,11.8597
688608.SH,2025-12-08,-0.0005,11.8592
300568.SZ,2025-12-08,-0.17,11.6892
000572.SZ,2025-12-08,0.6892,12.3784
603950.SH,2025-12-08,0.7531,13.1315
002443.SZ,2025-12-08,0.2109,13.3424
600689.SH,2025-12-08,0.0289,13.3713
688670.SH,2025-12-08,0.2608,13.6321
920725.BJ,2025-12-08,0.2564,13.8885
300142.SZ,2025-12-08,0.5542,14.4427
920670.BJ,2025-12-08,0.0242,14.4669
920374.BJ,2025-12-08,0.3219,14.7888
688038.SH,2025-12-08,0.1325,14.9213
001311.SZ,2025-12-08,0.7642,15.6855
603337.SH,2025-12-08,0.1137,15.7992
603113.SH,2025-12-08,2.0496,17.8488
300736.SZ,2025-12-08,0.0576,17.9064
603950.SH,2025-12-08,2.6926,20.599
300736.SZ,2025-12-08,0.7574,21.3564
688347.SH,2025-12-09,0.8454,22.2018
688578.SH,2025-12-09,0.1224,22.3242
002008.SZ,2025-12-09,0.0877,22.4119
300604.SZ,2025-12-09,0.4153,22.8272
300003.SZ,2025-12-09,0.2108,23.038
000507.SZ,2025-12-09,0.3359,23.3739
603337.SH,2025-12-09,0.2934,23.6673
603175.SH,2025-12-09,0.9006,24.5679
920826.BJ,2025-12-09,0.8398,25.4077
301137.SZ,2025-12-09,0.1886,25.5963
002791.SZ,2025-12-09,0.1891,25.7854
603950.SH,2025-12-09,0.53,26.3154
000962.SZ,2025-12-09,0.6189,26.9343
300197.SZ,2025-12-09,-0.04,26.8943
600528.SH,2025-12-09,-0.1658,26.7285
300368.SZ,2025-12-09,0.1552,26.8837
301303.SZ,2025-12-09,0.0887,26.9724
300568.SZ,2025-12-09,0.7605,27.7329
300518.SZ,2025-12-09,1.5624,29.2953
688392.SH,2025-12-09,0.2553,29.5506
001202.SZ,2025-12-09,0.1513,29.7019
002294.SZ,2025-12-09,1.0754,30.7773
301369.SZ,2025-12-09,0.1161,30.8934
688616.SH,2025-12-09,0.04,30.9334
603236.SH,2025-12-09,0.1556,31.089
920725.BJ,2025-12-09,-0.5805,30.5085
688244.SH,2025-12-09,0.2525,30.761
300691.SZ,2025-12-09,-0.0966,30.6644
002173.SZ,2025-12-09,0.0523,30.7167
300664.SZ,2025-12-09,0.137,30.8537
603334.SH,2025-12-09,0.5489,31.4026
300184.SZ,2025-12-09,0.1553,31.5579
300736.SZ,2025-12-09,0.9479,32.5058
000037.SZ,2025-12-09,0.5321,33.0379
600551.SH,2025-12-09,0.079,33.1169
600249.SH,2025-12-09,0.599,33.7159
