sym,n_bars,split,n_train,skill24_train,n_test,skill24_test,skill24_test_early,skill24_test_late
000019.SZ,34994,23096,2111,0.0597,1075,0.0049,0.0094,0.0003
000042.SZ,34994,23096,2081,0.0591,1018,-0.0497,-0.0141,-0.0874
000065.SZ,34994,23096,1953,0.0073,1012,-0.0334,-0.0282,-0.0388
000157.SZ,34994,23096,2089,0.0255,1095,0.0112,-0.0334,0.0573
000415.SZ,34994,23096,2161,0.057,1089,0.062,0.0826,0.041
000498.SZ,5000,3300,317,0.071,165,0.0883,0.0846,0.0922
000514.SZ,34994,23096,2176,0.0263,1086,0.0342,0.0571,0.0113
000532.SZ,34994,23096,2028,0.0158,1041,-0.0089,-0.0432,0.0248
000548.SZ,34994,23096,2176,0.055,1058,-0.022,-0.09,0.0445
000566.SZ,34994,23096,2121,0.0129,1003,0.0036,0.0476,-0.0518
000592.SZ,34994,23096,1818,0.0463,1030,0.0361,0.0637,0.0091
000610.SZ,34994,23096,2001,0.0424,1005,0.0126,-0.0263,0.0537
000631.SZ,34994,23096,2161,0.0891,1092,0.0888,0.0846,0.0931
000661.SZ,34994,23096,1938,0.0096,952,-0.0753,-0.0295,-0.1187
000686.SZ,34994,23096,2124,0.0033,1044,-0.0106,0.0073,-0.0292
000709.SZ,34994,23096,2245,0.1239,1156,0.1415,0.1538,0.1292
000726.SZ,34994,23096,2154,0.0458,1099,-0.0201,-0.0439,0.0043
000755.SZ,34994,23096,2178,0.0617,1072,0.0028,0.0174,-0.0128
000777.SZ,34994,23096,1977,-0.0078,978,-0.045,-0.0067,-0.0855
000796.SZ,34994,23096,2115,0.0378,1080,-0.0249,-0.0506,0.0014
000812.SZ,34994,23096,2194,0.0545,1096,0.0232,0.0066,0.0406
000830.SZ,34994,23096,1955,-0.0619,977,-0.0748,-0.0466,-0.104
000869.SZ,34994,23096,2052,0.0212,1026,0.0021,0.0036,0.0005
000893.SZ,34994,23096,1906,0.0018,956,-0.0017,0.0069,-0.0113
