sym,n_bars,split,n_train,skill24_train,n_test,skill24_test
000019.SZ,34994,23096,703,0.0103,337,0.039
000042.SZ,34994,23096,589,0.0023,237,-0.0208
000065.SZ,34994,23096,485,-0.0174,178,0.1361
000157.SZ,34994,23096,561,0.0738,320,0.1049
000415.SZ,34994,23096,717,0.0968,329,-0.0076
000498.SZ,5000,3300,131,-0.0008,53,0.0575
000514.SZ,34994,23096,879,0.0945,354,0.0628
000532.SZ,34994,23096,440,0.0158,213,0.0807
000548.SZ,34994,23096,709,0.0472,328,0.0645
000566.SZ,34994,23096,754,0.0173,376,-0.0148
000592.SZ,34994,23096,429,-0.1082,239,0.0385
000610.SZ,34994,23096,581,-0.0766,286,-0.104
000631.SZ,34994,23096,836,0.1326,423,0.1323
000661.SZ,34994,23096,247,-0.0364,123,-0.0423
000686.SZ,34994,23096,710,0.0258,289,0.017
000709.SZ,34994,23096,1020,0.131,589,0.1623
000726.SZ,34994,23096,743,0.038,384,0.0301
000755.SZ,34994,23096,892,0.0615,368,0.0377
000777.SZ,34994,23096,348,-0.0328,189,-0.0151
000796.SZ,34994,23096,760,0.0237,428,0.0973
000812.SZ,34994,23096,902,0.0552,410,0.0184
000830.SZ,34994,23096,342,0.0094,211,0.0278
000869.SZ,34994,23096,420,0.0055,211,0.0051
000893.SZ,34994,23096,253,-0.0183,113,-0.0358
000912.SZ,34994,23096,809,0.0406,456,0.0575
000928.SZ,5000,3300,92,0.0281,56,0.0296
000948.SZ,29995,19796,380,0.0586,199,-0.0102
000962.SZ,34994,23096,316,-0.0896,169,-0.0541
000981.SZ,34994,23096,924,0.119,482,0.0653
001207.SZ,34994,23096,338,0.1006,166,-0.0083
001223.SZ,34994,23096,258,0.0235,157,-0.1247
001238.SZ,34994,23096,264,0.0458,145,-0.0796
001277.SZ,9999,6599,74,0.0153,42,0.0657
001301.SZ,34994,23096,249,0.0462,132,-0.0438
001324.SZ,34994,23096,355,0.094,163,0.0777
001356.SZ,34994,23096,657,0.0027,284,0.0055
001379.SZ,29995,19796,300,-0.0111,155,0.0947
001965.SZ,5000,3300,64,0.1049,37,0.0224
002010.SZ,14998,9898,370,0.031,182,-0.0006
002024.SZ,34994,23096,1213,0.3116,616,0.4179
002040.SZ,34994,23096,613,0.0377,280,-0.0648
002051.SZ,34994,23096,631,-0.0571,231,-0.0625
002067.SZ,34994,23096,818,0.0998,378,0.0953
002084.SZ,29995,19796,708,0.0272,281,0.0978
002097.SZ,34994,23096,598,0.0576,265,0.0612
002108.SZ,34994,23096,797,0.134,373,0.0624
002124.SZ,34994,23096,1103,0.1635,529,0.1407
002136.SZ,34994,23096,425,0.0543,180,0.0399
002154.SZ,29995,19796,872,0.036,332,0.0421
