code,sym,name,market,market_label,board
600002,600002.SH,600002.SH,1,SH,沪主板
600014,600014.SH,600014.SH,1,SH,沪主板
600094,600094.SH,600094.SH,1,SH,沪主板
600166,600166.SH,600166.SH,1,SH,沪主板
600295,600295.SH,600295.SH,1,SH,沪主板
600316,600316.SH,600316.SH,1,SH,沪主板
600328,600328.SH,600328.SH,1,SH,沪主板
600341,600341.SH,600341.SH,1,SH,沪主板
600359,600359.SH,600359.SH,1,SH,沪主板
600391,600391.SH,600391.SH,1,SH,沪主板
600445,600445.SH,600445.SH,1,SH,沪主板
600473,600473.SH,600473.SH,1,SH,沪主板
600507,600507.SH,600507.SH,1,SH,沪主板
600539,600539.SH,600539.SH,1,SH,沪主板
600546,600546.SH,600546.SH,1,SH,沪主板
600554,600554.SH,600554.SH,1,SH,沪主板
600584,600584.SH,600584.SH,1,SH,沪主板
600588,600588.SH,600588.SH,1,SH,沪主板
600620,600620.SH,600620.SH,1,SH,沪主板
600633,600633.SH,600633.SH,1,SH,沪主板
600639,600639.SH,600639.SH,1,SH,沪主板
600700,600700.SH,600700.SH,1,SH,沪主板
600722,600722.SH,600722.SH,1,SH,沪主板
600728,600728.SH,600728.SH,1,SH,沪主板
600741,600741.SH,600741.SH,1,SH,沪主板
600808,600808.SH,600808.SH,1,SH,沪主板
600840,600840.SH,600840.SH,1,SH,沪主板
600867,600867.SH,600867.SH,1,SH,沪主板
600898,600898.SH,600898.SH,1,SH,沪主板
600909,600909.SH,600909.SH,1,SH,沪主板
600952,600952.SH,600952.SH,1,SH,沪主板
600962,600962.SH,600962.SH,1,SH,沪主板
601000,601000.SH,601000.SH,1,SH,沪主板
601053,601053.SH,601053.SH,1,SH,沪主板
601073,601073.SH,601073.SH,1,SH,沪主板
601074,601074.SH,601074.SH,1,SH,沪主板
601076,601076.SH,601076.SH,1,SH,沪主板
601143,601143.SH,601143.SH,1,SH,沪主板
601164,601164.SH,601164.SH,1,SH,沪主板
601186,601186.SH,601186.SH,1,SH,沪主板
601192,601192.SH,601192.SH,1,SH,沪主板
601235,601235.SH,601235.SH,1,SH,沪主板
601256,601256.SH,601256.SH,1,SH,沪主板
601300,601300.SH,601300.SH,1,SH,沪主板
601326,601326.SH,601326.SH,1,SH,沪主板
601401,601401.SH,601401.SH,1,SH,沪主板
601407,601407.SH,601407.SH,1,SH,沪主板
601413,601413.SH,601413.SH,1,SH,沪主板
601425,601425.SH,601425.SH,1,SH,沪主板
601456,601456.SH,601456.SH,1,SH,沪主板
601507,601507.SH,601507.SH,1,SH,沪主板
601509,601509.SH,601509.SH,1,SH,沪主板
601544,601544.SH,601544.SH,1,SH,沪主板
601551,601551.SH,601551.SH,1,SH,沪主板
601572,601572.SH,601572.SH,1,SH,沪主板
601582,601582.SH,601582.SH,1,SH,沪主板
601590,601590.SH,601590.SH,1,SH,沪主板
601671,601671.SH,601671.SH,1,SH,沪主板
601686,601686.SH,601686.SH,1,SH,沪主板
601704,601704.SH,601704.SH,1,SH,沪主板
601762,601762.SH,601762.SH,1,SH,沪主板
