trade_time,price,direction,idx,resonance_score,gravity,vol_div,macd_div,day_chg,detail
2026-07-20 09:33:00,315.93,买入,2,1,1,0,0,2.24,均线引力(dev=-1.91%) + 价格地板(新低dev=-1.91%)
2026-07-20 09:41:00,330.34,卖出,10,1,-1,0,0,6.91,均线引力(dev=1.90%)
2026-07-20 09:53:00,318.5,买入,22,1,1,0,0,3.07,均线引力(dev=-1.79%) + 价格地板(新低dev=-1.79%)
2026-07-20 10:05:00,330.52,卖出,34,1,-1,0,0,6.96,均线引力(dev=2.04%) + 价格天花板(新高dev=2.04%)
2026-07-20 10:14:00,321.61,买入,43,2,1,0,1,4.08,均线引力(dev=-0.73%) + MACD绿柱收缩
2026-07-20 10:31:00,314.81,买入,60,1,1,0,0,1.88,均线引力(dev=-2.67%) + 价格地板(新低dev=-2.67%)
2026-07-20 10:59:00,327.99,卖出,88,1,-1,0,0,6.15,均线引力(dev=1.57%) + 价格天花板(新高dev=1.57%)
2026-07-20 11:28:00,324.86,买入,117,1,0,0,1,5.13,MACD绿柱收缩
2026-07-20 13:09:00,318.5,买入,128,1,1,0,0,3.07,均线引力(dev=-1.74%) + 价格地板(新低dev=-1.74%)
2026-07-20 13:18:00,318.0,买入,137,1,1,0,0,2.91,均线引力(dev=-1.87%) + 价格地板(新低dev=-1.87%)
2026-07-20 13:27:00,317.06,买入,146,1,1,0,0,2.61,均线引力(dev=-2.13%) + 价格地板(新低dev=-2.13%)
2026-07-20 13:37:00,312.87,买入,156,1,1,0,0,1.25,均线引力(dev=-3.30%) + 价格地板(新低dev=-3.30%)
2026-07-20 13:45:00,309.58,买入,164,1,1,0,0,0.19,均线引力(dev=-4.15%) + 价格地板(新低dev=-4.15%)
2026-07-20 14:23:00,309.3,买入,202,1,1,0,0,0.1,均线引力(dev=-3.85%) + 价格地板(新低dev=-3.85%)
2026-07-20 14:33:00,305.61,买入,212,1,1,0,0,-1.1,均线引力(dev=-4.88%) + 价格地板(新低dev=-4.88%)
2026-07-20 14:48:00,321.97,卖出,227,1,0,0,-1,4.2,MACD红柱缩短
