mode,sym,name,time,dir,price,fwd6_recalc%,fwd12_recalc%,fwd24_recalc%
strict,161129.SZ,原油LOF易方达,09:34,B,1.920,-0.16,1.04,1.41
strict,161129.SZ,原油LOF易方达,09:38,B,1.920,1.10,1.25,1.04
strict,161129.SZ,原油LOF易方达,09:44,S,1.940,0.15,0.21,0.05
strict,688347.SH,华虹宏力,09:33,B,315.930,4.30,3.66,1.51
strict,688347.SH,华虹宏力,09:35,S,326.320,1.23,-0.85,-0.27
strict,688347.SH,华虹宏力,09:38,S,326.970,-0.89,-2.03,-0.71
strict,688347.SH,华虹宏力,09:41,S,330.340,-2.06,-3.58,0.05
strict,688347.SH,华虹宏力,10:14,B,321.610,-0.45,-1.02,-1.75
strict,688347.SH,华虹宏力,10:17,B,319.560,0.63,-0.49,0.86
strict,688347.SH,华虹宏力,11:03,S,330.510,0.45,-0.15,-1.87
strict,688347.SH,华虹宏力,11:06,S,332.530,0.00,-0.23,-2.54
strict,688347.SH,华虹宏力,11:28,B,324.860,-0.60,-1.37,-1.30
floor,161129.SZ,原油LOF易方达,09:34:00,B,1.920,-0.16,1.04,1.41
floor,161129.SZ,原油LOF易方达,09:44:00,S,1.940,0.15,0.21,0.05
floor,161129.SZ,原油LOF易方达,13:39:00,S,1.970,0.20,0.96,0.71
floor,161129.SZ,原油LOF易方达,13:47:00,S,1.990,-0.05,0.05,-0.25
floor,161129.SZ,原油LOF易方达,14:24:00,S,1.990,0.05,0.10,0.00
floor,161129.SZ,原油LOF易方达,14:33:00,S,2.000,0.00,-0.10,0.00
floor,688347.SH,华虹宏力,09:33:00,B,315.930,4.30,3.66,1.51
floor,688347.SH,华虹宏力,09:41:00,S,330.340,-2.06,-3.58,0.05
floor,688347.SH,华虹宏力,09:53:00,B,318.500,2.18,3.77,0.33
floor,688347.SH,华虹宏力,10:05:00,S,330.520,-2.54,-3.32,-3.79
floor,688347.SH,华虹宏力,10:14:00,B,321.610,-0.45,-1.02,-1.75
floor,688347.SH,华虹宏力,10:31:00,B,314.810,0.23,1.92,1.70
floor,688347.SH,华虹宏力,10:59:00,S,327.990,1.87,1.48,-0.91
floor,688347.SH,华虹宏力,11:28:00,B,324.860,-0.60,-1.37,-1.30
floor,688347.SH,华虹宏力,13:09:00,B,318.500,0.47,0.35,-1.29
floor,688347.SH,华虹宏力,13:18:00,B,318.000,0.06,0.03,-1.57
floor,688347.SH,华虹宏力,13:27:00,B,317.060,-0.84,-1.91,-1.21
floor,688347.SH,华虹宏力,13:37:00,B,312.870,-0.51,0.27,-0.63
floor,688347.SH,华虹宏力,13:45:00,B,309.580,1.17,-0.29,0.83
floor,688347.SH,华虹宏力,14:23:00,B,309.300,0.53,-0.52,5.19
floor,688347.SH,华虹宏力,14:33:00,B,305.610,-0.13,3.95,8.31
floor,688347.SH,华虹宏力,14:48:00,S,321.970,2.18,2.95,
