mode,segment,is_holdout,K,WL,EMA,k_stop,rev_exit,n_tr,win_rate,tot_ret,pf,avg
D,2026-07-08,False,3.5,20,"10,30",2.0,True,0,,0.0,,0.0
R,2026-07-08,False,-,-,-,2.5,False,8,50.0,7.997,5.569,1.0
D,2026-07-09,False,3.5,20,"10,30",2.0,True,0,,0.0,,0.0
R,2026-07-09,False,-,-,-,2.5,False,9,11.11,-4.552,0.104,-0.506
D,2026-07-10,False,3.5,20,"10,30",2.0,True,0,,0.0,,0.0
R,2026-07-10,False,-,-,-,1.5,False,16,18.75,-0.685,0.823,-0.043
D,2026-07-13,False,3.5,20,"10,30",2.0,True,1,0.0,-0.077,0.0,-0.077
R,2026-07-13,False,-,-,-,2.5,False,14,21.43,0.071,1.019,0.005
D,2026-07-14,False,3.5,15,"10,30",1.5,True,0,,0.0,,0.0
R,2026-07-14,False,-,-,-,2.5,False,8,37.5,2.344,1.57,0.293
D,2026-07-15,False,3.5,15,"10,30",1.5,True,0,,0.0,,0.0
R,2026-07-15,False,-,-,-,4.0,False,8,37.5,2.34,1.753,0.292
D,2026-07-16,False,3.5,15,"10,30",1.5,True,2,0.0,-0.619,0.0,-0.31
R,2026-07-16,False,-,-,-,2.5,False,15,13.33,-4.964,0.149,-0.331
D,2026-07-17,False,4.0,30,"30,90",4.0,False,2,0.0,-0.976,0.0,-0.488
R,2026-07-17,False,-,-,-,2.5,False,14,21.43,-1.125,0.865,-0.08
D,2026-07-20,False,4.0,40,"30,90",4.0,False,0,,0.0,,0.0
R,2026-07-20,False,-,-,-,2.5,False,9,33.33,2.764,1.669,0.307
D,HOLDOUT,True,4.0,40,"30,90",4.0,False,4,50.0,2.081,2.493,0.52
R,HOLDOUT,True,-,-,-,2.5,False,33,21.21,-3.166,0.727,-0.096
