sym,name,type,sub,idx,time,price,entry,size,detail
161129.SZ,原油LOF,S,,103,11:14,2.15,2.15,2,均线引力(dev=1.71%) + 价格天花板(新高dev=1.71%)
161129.SZ,原油LOF,X,TRAIL,137,13:18,2.137,2.15,2,
161129.SZ,原油LOF,S,,175,13:56,2.137,2.137,4,均线引力(dev=0.71%) + MACD红柱缩短
161129.SZ,原油LOF,X,B,196,14:17,2.116,2.137,4,均线引力(dev=-0.29%) + MACD绿柱收缩
161129.SZ,原油LOF,B,,211,14:32,2.117,2.117,4,均线引力(dev=-0.24%) + MACD绿柱收缩
161129.SZ,原油LOF,X,EOD,239,15:00,2.136,2.117,4,
688347.SH,华虹半导体,B,,2,09:33,370.07,370.07,2,均线引力(dev=-1.80%)
688347.SH,华虹半导体,X,TRAIL,5,09:36,367.39,370.07,2,
688347.SH,华虹半导体,B,,8,09:39,367.12,367.12,2,均线引力(dev=-1.46%)
688347.SH,华虹半导体,X,S,70,10:41,349.01,367.12,2,MACD红柱缩短
688347.SH,华虹半导体,S,,72,10:43,346.98,346.98,4,MACD红柱缩短
688347.SH,华虹半导体,X,B,80,10:51,343.98,346.98,4,均线引力(dev=-3.70%) + MACD绿柱收缩
688347.SH,华虹半导体,B,,85,10:56,337.87,337.87,4,均线引力(dev=-5.33%) + 价格地板(新低dev=-5.33%)
688347.SH,华虹半导体,X,TRAIL,91,11:02,337.0,337.87,4,
688347.SH,华虹半导体,B,,92,11:03,335.9,335.9,4,均线引力(dev=-5.76%) + 价格地板(新低dev=-5.76%)
688347.SH,华虹半导体,X,TRAIL,105,11:16,342.5,335.9,4,
688347.SH,华虹半导体,S,,108,11:19,344.4,344.4,4,MACD红柱缩短
688347.SH,华虹半导体,X,TRAIL,111,11:22,344.78,344.4,4,
688347.SH,华虹半导体,S,,132,13:13,359.68,359.68,2,均线引力(dev=1.52%) + 价格天花板(新高dev=1.52%)
688347.SH,华虹半导体,X,TRAIL,137,13:18,356.0,359.68,2,
688347.SH,华虹半导体,S,,146,13:27,365.0,365.0,4,均线引力(dev=2.97%) + 价格天花板(新高dev=2.97%)
688347.SH,华虹半导体,X,TRAIL,149,13:30,363.5,365.0,4,
688347.SH,华虹半导体,S,,155,13:36,367.78,367.78,4,均线引力(dev=3.69%) + 价格天花板(新高dev=3.69%)
688347.SH,华虹半导体,X,TRAIL,170,13:51,357.03,367.78,4,
688347.SH,华虹半导体,B,,179,14:00,352.8,352.8,4,均线引力(dev=-0.58%) + MACD绿柱收缩
688347.SH,华虹半导体,X,TRAIL,190,14:11,352.02,352.8,4,
688347.SH,华虹半导体,B,,206,14:27,348.79,348.79,2,均线引力(dev=-1.69%) + 价格地板(新低dev=-1.69%)
688347.SH,华虹半导体,X,TRAIL,213,14:34,352.5,348.79,2,
688347.SH,华虹半导体,B,,222,14:43,345.88,345.88,4,均线引力(dev=-2.49%) + 价格地板(新低dev=-2.49%)
688347.SH,华虹半导体,X,EOD,239,15:00,341.0,345.88,4,
513310.SH,中韩半导体ETF,S,,4,09:35,5.277,5.277,2,均线引力(dev=1.30%)
513310.SH,中韩半导体ETF,X,B,11,09:42,5.216,5.277,2,均线引力(dev=-0.40%)
513310.SH,中韩半导体ETF,B,,19,09:50,5.225,5.225,4,MACD绿柱收缩
513310.SH,中韩半导体ETF,X,TRAIL,160,13:41,5.228,5.225,4,
