sym,side,entry_bar,exit_bar,hold,pnl,reason,entry_date
159605.SZ,short,1002,1020,18,0.5005502751375682,tp,2026-04-24
159605.SZ,long,1561,1599,38,0.1297052623113784,eod,2026-04-28
159605.SZ,short,2187,2226,39,0.5005502751375814,tp,2026-05-06
159605.SZ,short,2790,2799,9,-0.20921038490891086,eod,2026-05-08
159605.SZ,short,3401,3465,64,0.451769434882825,revert,2026-05-13
159605.SZ,long,3543,3621,78,-0.5994502748625651,stop,2026-05-14
159605.SZ,long,3632,3759,127,-0.42784953256412,eod,2026-05-14
159605.SZ,long,3890,3920,30,-0.5994502748625627,stop,2026-05-15
159605.SZ,long,3931,3940,9,-0.5994502748625696,stop,2026-05-15
159605.SZ,long,3951,3999,48,0.013315337795966376,eod,2026-05-15
159605.SZ,long,4840,4884,44,-0.5994502748625737,stop,2026-05-21
159605.SZ,long,4895,4941,46,-0.599450274862567,stop,2026-05-21
159605.SZ,long,4952,4959,7,-0.33363435241442585,eod,2026-05-21
159605.SZ,short,5480,5613,133,0.25366039910415894,revert,2026-05-26
159605.SZ,long,5748,5912,164,-0.5994502748625663,stop,2026-05-27
159605.SZ,long,5972,6040,68,-0.59945027486257,stop,2026-05-28
159605.SZ,long,6051,6066,15,0.4994502748625801,tp,2026-05-28
159605.SZ,short,6272,6280,8,-0.6005502751375543,stop,2026-05-29
159605.SZ,short,6673,6677,4,-0.6005502751375431,stop,2026-06-02
159605.SZ,short,6688,6694,6,-0.6005502751375456,stop,2026-06-02
159605.SZ,short,6705,6739,34,0.5005502751375835,tp,2026-06-02
159605.SZ,short,6750,6760,10,-0.600550275137551,stop,2026-06-02
159605.SZ,short,6771,6842,71,-0.6005502751375394,stop,2026-06-02
159605.SZ,short,6853,6879,26,-0.4448263167174671,eod,2026-06-02
159605.SZ,long,6923,7119,196,-0.3339079874582479,eod,2026-06-03
159605.SZ,long,7536,7599,63,0.1399060373774831,eod,2026-06-05
159605.SZ,short,7677,7707,30,0.5005502751375669,tp,2026-06-08
159605.SZ,long,8352,8358,6,-0.5994502748625584,stop,2026-06-11
159605.SZ,long,8369,8381,12,-0.5994502748625649,stop,2026-06-11
159605.SZ,long,8392,8440,48,0.49945027486257193,tp,2026-06-11
159605.SZ,long,8463,8559,96,-0.22513805753763425,eod,2026-06-11
159605.SZ,long,9251,9279,28,-0.22624591623277074,eod,2026-06-16
159605.SZ,long,9372,9391,19,0.4994502748625902,tp,2026-06-17
159605.SZ,short,9958,9999,41,-0.4915756444062908,eod,2026-06-22
159605.SZ,long,10088,10120,32,-0.5994502748625474,stop,2026-06-23
159605.SZ,long,10131,10239,108,-0.3688599845433826,eod,2026-06-23
159605.SZ,short,10384,10396,12,-0.6005502751375424,stop,2026-06-24
159605.SZ,long,10522,10568,46,0.49945027486258,tp,2026-06-25
159605.SZ,long,10713,10719,6,0.03918653486627795,eod,2026-06-25
159605.SZ,long,10803,10847,44,0.4994502748625755,tp,2026-06-26
159605.SZ,long,10928,10959,31,0.18629653654549627,eod,2026-06-26
159605.SZ,short,11008,11065,57,-0.6005502751375468,stop,2026-06-29
159605.SZ,short,11076,11140,64,0.500550275137563,tp,2026-06-29
159605.SZ,short,11193,11199,6,0.1730742588211101,eod,2026-06-29
159605.SZ,long,11246,11294,48,0.4994502748625827,tp,2026-06-30
159605.SZ,short,11385,11424,39,0.500550275137563,tp,2026-06-30
159605.SZ,long,11752,11795,43,-0.5994502748625474,stop,2026-07-02
159605.SZ,long,11817,11909,92,-0.599450274862552,stop,2026-07-02
159605.SZ,long,11995,12027,32,0.49945027486257876,tp,2026-07-03
159605.SZ,short,12185,12194,9,-0.6005502751375613,stop,2026-07-06
159605.SZ,short,12205,12214,9,-0.6005502751375433,stop,2026-07-06
159605.SZ,short,12225,12232,7,-0.6005502751375433,stop,2026-07-06
159605.SZ,short,12244,12249,5,-0.6005502751375433,stop,2026-07-06
159605.SZ,short,12260,12272,12,0.5005502751375869,tp,2026-07-06
159605.SZ,short,12420,12425,5,0.5005502751375736,tp,2026-07-07
159605.SZ,short,12445,12455,10,0.5005502751375744,tp,2026-07-07
159605.SZ,long,12472,12519,47,-0.5994502748625575,stop,2026-07-07
159605.SZ,long,12530,12580,50,-0.599450274862551,stop,2026-07-07
159605.SZ,long,12591,12639,48,0.1602063551557676,eod,2026-07-07
159605.SZ,short,12743,12755,12,-0.6005502751375443,stop,2026-07-08
159605.SZ,short,12766,12781,15,-0.6005502751375412,stop,2026-07-08
159605.SZ,short,12792,12799,7,-0.6005502751375492,stop,2026-07-08
159605.SZ,short,12810,12834,24,-0.6005502751375482,stop,2026-07-08
159605.SZ,short,12845,12867,22,0.500550275137578,tp,2026-07-08
159605.SZ,short,12878,12879,1,-0.2237830905563917,eod,2026-07-08
159605.SZ,short,12909,12924,15,-0.6005502751375509,stop,2026-07-09
159605.SZ,long,12970,13003,33,-0.5994502748625584,stop,2026-07-09
159605.SZ,long,13014,13018,4,-0.5994502748625712,stop,2026-07-09
159605.SZ,long,13029,13051,22,0.49945027486257354,tp,2026-07-09
159605.SZ,long,13062,13119,57,0.2746751624188035,eod,2026-07-09
159605.SZ,short,13144,13152,8,0.5005502751375682,tp,2026-07-10
159605.SZ,short,13163,13200,37,-0.6005502751375495,stop,2026-07-10
159605.SZ,short,13215,13244,29,0.5005502751375636,tp,2026-07-10
159605.SZ,short,13386,13388,2,0.5005502751375788,tp,2026-07-13
159605.SZ,long,13435,13552,117,-0.5994502748625712,stop,2026-07-13
159605.SZ,long,13563,13586,23,0.4994502748625883,tp,2026-07-13
159605.SZ,long,13597,13599,2,-0.2245136783229209,eod,2026-07-13
159605.SZ,short,13636,13643,7,-0.6005502751375457,stop,2026-07-14
159605.SZ,short,13654,13666,12,0.5005502751375787,tp,2026-07-14
159605.SZ,short,13734,13739,5,0.5005502751375787,tp,2026-07-14
159605.SZ,short,13752,13816,64,-0.6005502751375492,stop,2026-07-14
159605.SZ,short,13827,13839,12,0.024452524769866882,eod,2026-07-14
159605.SZ,short,13864,13869,5,-0.6005502751375448,stop,2026-07-15
159605.SZ,short,13882,13885,3,0.5005502751375883,tp,2026-07-15
159605.SZ,short,13904,13937,33,-0.600550275137554,stop,2026-07-15
159605.SZ,short,13948,13961,13,0.5005502751375717,tp,2026-07-15
159605.SZ,short,13972,14015,43,-0.600550275137544,stop,2026-07-15
159605.SZ,short,14026,14079,53,-0.46851646682236836,eod,2026-07-15
159605.SZ,short,14156,14164,8,0.5005502751375898,tp,2026-07-16
159605.SZ,short,14179,14263,84,0.5005502751375898,tp,2026-07-16
159605.SZ,long,14297,14305,8,0.49945027486257443,tp,2026-07-16
159607.SZ,short,1000,1119,119,-0.10005002501249974,eod,2026-04-24
159607.SZ,long,1560,1599,39,-0.09995002498749116,eod,2026-04-28
159607.SZ,short,2187,2233,46,0.5005502751375682,tp,2026-05-06
159607.SZ,short,2790,2799,9,-0.20944898678847168,eod,2026-05-08
159607.SZ,short,3401,3465,64,0.4548283010685012,revert,2026-05-13
159607.SZ,long,3543,3618,75,-0.5994502748625605,stop,2026-05-14
159607.SZ,long,3629,3759,130,-0.5385891028141189,eod,2026-05-14
159607.SZ,long,3918,3938,20,-0.5994502748625531,stop,2026-05-15
159607.SZ,long,3949,3999,50,0.013443902339424203,eod,2026-05-15
159607.SZ,long,4822,4885,63,-0.5994502748625601,stop,2026-05-21
159607.SZ,long,4896,4936,40,-0.5994502748625581,stop,2026-05-21
159607.SZ,long,4947,4959,12,-0.4504765161278827,eod,2026-05-21
159607.SZ,short,5480,5609,129,0.37212002227530055,revert,2026-05-26
159607.SZ,long,5767,5823,56,-0.5994502748625652,stop,2026-05-27
159607.SZ,long,5834,5919,85,-0.3380907877408014,eod,2026-05-27
159607.SZ,long,5958,6022,64,-0.5994502748625415,stop,2026-05-28
159607.SZ,long,6040,6088,48,0.49945027486258087,tp,2026-05-28
159607.SZ,short,6280,6289,9,0.5005502751375812,tp,2026-05-29
159607.SZ,short,6673,6681,8,-0.6005502751375376,stop,2026-06-02
159607.SZ,short,6692,6708,16,-0.6005502751375401,stop,2026-06-02
159607.SZ,short,6719,6736,17,0.500550275137576,tp,2026-06-02
159607.SZ,short,6760,6840,80,-0.6005502751375436,stop,2026-06-02
159607.SZ,short,6851,6879,28,-0.21537266329016347,eod,2026-06-02
159607.SZ,long,6896,6937,41,-0.5994502748625642,stop,2026-06-03
159607.SZ,long,6948,7119,171,-0.21775668769387604,eod,2026-06-03
159607.SZ,long,7414,7536,122,-0.5994502748625573,stop,2026-06-05
159607.SZ,long,7547,7599,52,0.38382745673169033,eod,2026-06-05
159607.SZ,short,7695,7707,12,0.5005502751375717,tp,2026-06-08
159607.SZ,long,7757,7839,82,0.2723482979007478,eod,2026-06-08
159607.SZ,long,8352,8358,6,-0.5994502748625563,stop,2026-06-11
159607.SZ,long,8369,8381,12,-0.5994502748625627,stop,2026-06-11
159607.SZ,long,8392,8427,35,-0.5994502748625521,stop,2026-06-11
159607.SZ,long,8438,8440,2,0.49945027486256444,tp,2026-06-11
159607.SZ,long,8467,8559,92,0.026345866257775775,eod,2026-06-11
159607.SZ,long,8865,8907,42,0.4994502748625883,tp,2026-06-15
159607.SZ,long,9363,9395,32,0.49945027486257193,tp,2026-06-17
159607.SZ,long,9737,9759,22,0.03063827563344307,eod,2026-06-18
159607.SZ,short,9957,9999,42,-0.6005502751375381,stop,2026-06-22
159607.SZ,long,10096,10122,26,-0.5994502748625554,stop,2026-06-23
159607.SZ,long,10133,10146,13,-0.5994502748625634,stop,2026-06-23
159607.SZ,long,10157,10203,46,-0.5994502748625532,stop,2026-06-23
159607.SZ,long,10214,10236,22,-0.5994502748625474,stop,2026-06-23
159607.SZ,short,10384,10398,14,-0.6005502751375535,stop,2026-06-24
159607.SZ,long,10521,10576,55,0.49945027486259186,tp,2026-06-25
159607.SZ,long,10803,10846,43,0.49945027486257365,tp,2026-06-26
159607.SZ,long,10928,10959,31,0.18711908413610065,eod,2026-06-26
159607.SZ,short,10996,10999,3,0.5005502751375825,tp,2026-06-29
159607.SZ,short,11011,11027,16,0.5005502751375682,tp,2026-06-29
159607.SZ,short,11040,11075,35,-0.6005502751375404,stop,2026-06-29
159607.SZ,short,11086,11129,43,0.5005502751375772,tp,2026-06-29
159607.SZ,long,11254,11291,37,0.49945027486257815,tp,2026-06-30
159607.SZ,short,11383,11439,56,0.17457288314940062,eod,2026-06-30
159607.SZ,long,11752,11794,42,-0.5994502748625713,stop,2026-07-02
159607.SZ,long,11806,11852,46,-0.5994502748625611,stop,2026-07-02
159607.SZ,long,11863,11919,56,-0.23386430109341516,eod,2026-07-02
159607.SZ,long,11995,12016,21,0.49945027486256055,tp,2026-07-03
159607.SZ,short,12185,12194,9,-0.6005502751375514,stop,2026-07-06
159607.SZ,short,12205,12214,9,-0.6005502751375457,stop,2026-07-06
159607.SZ,short,12225,12233,8,-0.6005502751375457,stop,2026-07-06
159607.SZ,short,12244,12249,5,-0.6005502751375457,stop,2026-07-06
159607.SZ,short,12260,12269,9,0.5005502751375717,tp,2026-07-06
159607.SZ,short,12420,12425,5,0.5005502751375793,tp,2026-07-07
159607.SZ,short,12442,12447,5,-0.6005502751375429,stop,2026-07-07
159607.SZ,long,12480,12519,39,-0.5994502748625564,stop,2026-07-07
159607.SZ,long,12530,12582,52,-0.5994502748625642,stop,2026-07-07
159607.SZ,long,12593,12639,46,-0.09995002498750132,eod,2026-07-07
159607.SZ,short,12672,12676,4,0.5005502751375736,tp,2026-07-08
159607.SZ,short,12742,12754,12,-0.6005502751375547,stop,2026-07-08
159607.SZ,short,12765,12780,15,-0.6005502751375457,stop,2026-07-08
159607.SZ,short,12791,12798,7,-0.6005502751375376,stop,2026-07-08
159607.SZ,short,12809,12821,12,-0.6005502751375469,stop,2026-07-08
159607.SZ,short,12832,12842,10,-0.6005502751375482,stop,2026-07-08
159607.SZ,short,12853,12874,21,0.50055027513759,tp,2026-07-08
159607.SZ,long,12894,12898,4,0.49945027486257687,tp,2026-07-09
159607.SZ,short,12909,12924,15,-0.6005502751375396,stop,2026-07-09
159607.SZ,long,12972,13000,28,-0.5994502748625712,stop,2026-07-09
159607.SZ,long,13011,13017,6,-0.5994502748625478,stop,2026-07-09
159607.SZ,long,13028,13078,50,-0.5994502748625595,stop,2026-07-09
159607.SZ,long,13089,13119,30,0.025238007562644323,eod,2026-07-09
159607.SZ,short,13144,13163,19,-0.6005502751375505,stop,2026-07-10
