sym,date,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct
161129.SZ,2026-06-26,short,10:14:00,1.451,13:32:00,1.429,TRAIL,1.5395
161129.SZ,2026-06-29,long,09:34:00,1.45,14:08:00,1.436,S,-0.9655
161129.SZ,2026-06-30,short,09:33:00,1.437,10:02:00,1.434,B,0.2092
161129.SZ,2026-07-01,short,09:33:00,1.434,09:39:00,1.43,B,0.2797
161129.SZ,2026-07-01,long,09:41:00,1.43,15:00:00,1.426,EOD,-0.2797
161129.SZ,2026-07-02,long,09:33:00,1.375,09:36:00,1.38,S,0.3636
161129.SZ,2026-07-02,short,09:37:00,1.38,15:00:00,1.385,EOD,-0.361
161129.SZ,2026-07-03,long,09:33:00,1.391,09:41:00,1.395,S,0.2876
161129.SZ,2026-07-03,short,09:42:00,1.398,14:13:00,1.412,B,-0.9915
161129.SZ,2026-07-06,long,09:33:00,1.402,09:54:00,1.405,S,0.214
161129.SZ,2026-07-06,long,14:26:00,1.423,15:00:00,1.418,EOD,-0.3514
161129.SZ,2026-07-07,short,09:38:00,1.43,10:09:00,1.433,TRAIL,-0.2094
161129.SZ,2026-07-07,short,10:25:00,1.45,11:09:00,1.447,TRAIL,0.2073
161129.SZ,2026-07-08,short,09:33:00,1.556,09:39:00,1.556,TRAIL,0.0
161129.SZ,2026-07-08,short,09:40:00,1.556,10:48:00,1.553,TRAIL,0.1932
161129.SZ,2026-07-08,long,13:44:00,1.563,14:19:00,1.573,TRAIL,0.6398
161129.SZ,2026-07-08,long,14:57:00,1.597,15:00:00,1.587,EOD,-0.6262
161129.SZ,2026-07-09,short,09:33:00,1.694,09:37:00,1.683,B,0.6536
161129.SZ,2026-07-09,long,09:38:00,1.676,09:49:00,1.673,TRAIL,-0.179
161129.SZ,2026-07-09,short,10:50:00,1.703,13:17:00,1.696,TRAIL,0.4127
161129.SZ,2026-07-09,long,13:49:00,1.65,14:09:00,1.632,S,-1.0909
161129.SZ,2026-07-10,short,09:34:00,1.561,09:38:00,1.566,TRAIL,-0.3193
161129.SZ,2026-07-10,short,09:39:00,1.562,11:09:00,1.608,B,-2.8607
161129.SZ,2026-07-10,short,13:02:00,1.617,14:32:00,1.577,TRAIL,2.5365
161129.SZ,2026-07-10,short,14:46:00,1.603,15:00:00,1.59,EOD,0.8176
