symbol,mode,n_signals,n_B,n_S,skill6,skill12,skill24
000001.SZ,strict,572,274,298,-0.0203,-0.0331,-0.0234
000001.SZ,floor,574,274,300,-0.0196,-0.033,-0.0233
000001.SZ,resonance,831,497,334,-0.0041,-0.0196,-0.017
000002.SZ,strict,447,268,179,0.0262,0.0135,-0.0279
000002.SZ,floor,498,274,224,0.0402,0.0179,-0.0204
000002.SZ,resonance,670,482,188,0.0349,0.0333,-0.0301
000004.SZ,strict,280,149,131,-0.0177,-0.0426,-0.173
000004.SZ,floor,380,167,213,0.007,-0.017,-0.1929
000004.SZ,resonance,406,250,156,0.0213,-0.0648,-0.1343
000006.SZ,strict,730,473,257,-0.007,0.0059,0.0084
000006.SZ,floor,838,499,339,-0.0085,0.002,0.0125
000006.SZ,resonance,981,657,324,0.0108,0.0124,-0.0019
000009.SZ,strict,87,47,40,-0.0946,-0.0515,-0.079
000009.SZ,floor,96,47,49,-0.0608,-0.0155,-0.0626
000009.SZ,resonance,129,79,50,-0.003,0.0418,-0.0067
000011.SZ,strict,677,385,292,-0.0329,-0.0336,-0.0365
000011.SZ,floor,716,395,321,-0.0281,-0.0272,-0.0242
000011.SZ,resonance,959,636,323,-0.0116,-0.0177,-0.0209
000012.SZ,strict,455,251,204,-0.0896,-0.0445,-0.0909
000012.SZ,floor,504,256,248,-0.0849,-0.036,-0.0558
000012.SZ,resonance,681,467,214,-0.0352,-0.0208,-0.0477
000014.SZ,strict,796,482,314,-0.0373,-0.0533,-0.0599
000014.SZ,floor,879,499,380,-0.0427,-0.058,-0.0599
000014.SZ,resonance,1072,712,360,-0.0225,-0.0144,-0.0208
000016.SZ,strict,463,272,191,0.0004,0.0286,-0.0048
000016.SZ,floor,568,288,280,0.0599,0.0724,0.0489
000016.SZ,resonance,678,470,208,0.0133,0.027,-0.0418
000019.SZ,strict,608,358,250,-0.0026,-0.0148,-0.055
000019.SZ,floor,638,364,274,-0.0021,-0.0142,-0.064
000019.SZ,resonance,845,556,289,0.0067,0.0083,-0.03
000027.SZ,strict,589,306,283,-0.0045,-0.0118,-0.007
000027.SZ,floor,648,312,336,-0.0023,0.0122,-0.0045
000027.SZ,resonance,809,473,336,0.0024,0.0026,-0.0175
000028.SZ,strict,764,417,347,-0.0068,-0.0011,-0.0268
000028.SZ,floor,777,417,360,-0.0074,-0.0004,-0.0252
000028.SZ,resonance,1053,642,411,-0.0003,0.0012,-0.0206
000029.SZ,strict,896,569,327,-0.0282,-0.039,-0.0286
000029.SZ,floor,999,589,410,-0.0365,-0.035,-0.0322
000029.SZ,resonance,1156,769,387,-0.0177,-0.0301,-0.0211
000031.SZ,strict,474,279,195,0.0382,0.0375,-0.0419
000031.SZ,floor,558,297,261,0.0805,0.083,-0.0008
000031.SZ,resonance,680,484,196,0.0674,0.0797,-0.0015
000034.SZ,strict,967,608,359,0.0128,-0.0055,-0.0158
000034.SZ,floor,1103,632,471,0.0154,-0.0001,-0.0109
000034.SZ,resonance,1189,787,402,0.0294,-0.0061,-0.0207
000035.SZ,strict,627,373,254,-0.0307,-0.0231,-0.0106
000035.SZ,floor,699,389,310,-0.0194,-0.0054,0.032
000035.SZ,resonance,852,573,279,0.0173,0.0201,0.0638
000036.SZ,strict,635,389,246,-0.0139,-0.0379,-0.0493
000036.SZ,floor,751,420,331,-0.039,-0.0163,-0.0257
000036.SZ,resonance,902,619,283,0.0058,0.0106,-0.0022
000037.SZ,strict,648,375,273,-0.0134,-0.0005,0.0772
000037.SZ,floor,742,394,348,-0.0277,0.0203,0.0607
000037.SZ,resonance,892,556,336,0.0165,0.0348,0.0934
000039.SZ,strict,845,512,333,-0.0443,-0.048,-0.0689
000039.SZ,floor,967,524,443,-0.0359,-0.0444,-0.0613
000039.SZ,resonance,1066,694,372,-0.0256,-0.0061,-0.0244
000042.SZ,strict,619,379,240,-0.0258,-0.0367,-0.0449
000042.SZ,floor,703,395,308,-0.0128,-0.0165,-0.0525
000042.SZ,resonance,910,621,289,-0.0176,-0.045,-0.0572
000049.SZ,strict,911,530,381,0.0113,0.001,0.0204
000049.SZ,floor,976,535,441,0.0146,0.0055,0.0102
000049.SZ,resonance,1115,686,429,0.0123,-0.0007,0.0114
000050.SZ,strict,727,429,298,0.008,-0.0523,-0.1281
000050.SZ,floor,790,439,351,-0.0187,-0.0646,-0.1335
000050.SZ,resonance,958,636,322,0.005,-0.0307,-0.1154
000055.SZ,strict,159,103,56,-0.0309,-0.0794,-0.1101
000055.SZ,floor,178,105,73,-0.0084,-0.0317,-0.0772
000055.SZ,resonance,225,159,66,0.0396,-0.0069,-0.0286
000056.SZ,strict,370,199,171,0.0497,0.0301,0.0507
000056.SZ,floor,503,233,270,0.082,0.0708,0.0866
000056.SZ,resonance,535,362,173,0.1133,0.0909,0.1454
000058.SZ,strict,653,376,277,-0.0182,-0.0148,0.0015
000058.SZ,floor,680,386,294,-0.0086,-0.0041,0.0091
000058.SZ,resonance,946,633,313,0.001,0.0022,0.0069
000060.SZ,strict,718,374,344,-0.0278,0.0063,-0.0836
000060.SZ,floor,907,430,477,-0.0297,-0.0182,-0.0881
000060.SZ,resonance,911,550,361,-0.0131,-0.0144,-0.05
000061.SZ,strict,651,398,253,-0.0533,-0.0615,-0.0737
000061.SZ,floor,697,411,286,-0.0497,-0.0492,-0.0643
000061.SZ,resonance,938,660,278,-0.0274,-0.0196,-0.0164
000062.SZ,strict,847,491,356,0.0531,0.0731,0.0803
000062.SZ,floor,1010,518,492,0.0381,0.0603,0.0679
000062.SZ,resonance,1058,683,375,0.0471,0.0718,0.049
000063.SZ,strict,941,538,403,-0.0174,-0.0511,-0.0579
000063.SZ,floor,1047,562,485,-0.002,-0.0224,-0.043
000063.SZ,resonance,1164,721,443,-0.0144,-0.0415,-0.0503
