类别,标的代码,标的名称,缺失信号类型,理论触发时间,理论触发价,信号仓位(成),未推送原因
真实缺失,688347.SH,华虹宏力,S,2026-07-23 10:43:00,346.980,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,X:B,2026-07-23 10:51:00,343.980,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,B,2026-07-23 10:58:00,339.000,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,X:TRAIL,2026-07-23 11:02:00,337.000,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,B,2026-07-23 11:06:00,335.000,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,X:TRAIL,2026-07-23 11:16:00,342.500,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,688347.SH,华虹宏力,S,2026-07-23 11:19:00,344.400,4,推送中断(10:42 后扫描续行至 11:28 但未再推送)：理论信号在评估窗口内产生，但因推送通道中断未送达飞书。
真实缺失,513310.SH,中韩半导体ETF华泰柏瑞,X:B,2026-07-23 09:42:00,5.212,2,状态失同步(盘间重启丢失持仓态)：513310 于 09:35 开空后，持仓状态因盘前/早盘重启丢失同步，平仓(09:42)与回补(09:50)信号未复现；state.json 显示该空仓至收盘仍未平。
真实缺失,513310.SH,中韩半导体ETF华泰柏瑞,B,2026-07-23 09:50:00,5.225,4,状态失同步(盘间重启丢失持仓态)：513310 于 09:35 开空后，持仓状态因盘前/早盘重启丢失同步，平仓(09:42)与回补(09:50)信号未复现；state.json 显示该空仓至收盘仍未平。
未评估(冻结后),161129.SZ,原油LOF易方达,S,2026-07-23 13:56:00,2.137,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),161129.SZ,原油LOF易方达,X:B,2026-07-23 14:17:00,2.116,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),161129.SZ,原油LOF易方达,B,2026-07-23 14:32:00,2.117,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),688347.SH,华虹宏力,X:B,2026-07-23 14:00:00,352.800,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),688347.SH,华虹宏力,B,2026-07-23 14:02:00,349.160,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),688347.SH,华虹宏力,X:TRAIL,2026-07-23 14:11:00,352.020,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
未评估(冻结后),513310.SH,中韩半导体ETF华泰柏瑞,X:TRAIL,2026-07-23 13:41:00,5.228,4,扫描冻结(>bar118≈11:28:00 后未评估)，非真实缺失，不计入缺失率
